time,temp_c,minutes,relative_humidity,absolute_humidity_g_per_kg
00:10,23.6,0,90,17.73658933488969
00:20,23.6,10,91,17.932193390423067
00:30,23.6,20,91,17.932193390423067
00:40,23.5,30,91,17.823636434752774
00:50,23.5,40,91,17.823636434752774
01:00,23.7,50,91,18.040750346093362
01:10,23.8,60,90,17.851951445516918
01:20,23.5,70,91,17.823636434752774
01:30,23.6,80,91,17.932193390423067
01:40,23.4,90,92,17.99775663584836
01:50,23.4,100,92,17.99775663584836
02:00,23.4,110,91,17.71508284516788
02:10,23.4,120,92,17.99775663584836
02:20,23.4,130,92,17.99775663584836
02:30,23.4,140,92,17.99775663584836
02:40,23.4,150,92,17.99775663584836
02:50,23.6,160,91,17.932193390423067
03:00,23.4,170,91,17.71508284516788
03:10,23.3,180,92,17.888669292027776
03:20,23.1,190,92,17.671511954557216
03:30,23.6,200,89,17.540471522884196
03:40,23.6,210,88,17.344846577549484
03:50,23.6,220,86,16.954974730545352
04:00,23.8,230,84,16.674652551805903
04:10,23.7,240,84,16.565695683735602
04:20,23.6,250,84,16.45732598103474
04:30,23.6,260,83,16.262702489870423
04:40,23.5,270,84,16.349404424669452
04:50,23.5,280,84,16.349404424669452
05:00,23.5,290,84,16.349404424669452
05:10,23.4,300,84,16.241930867508163
05:20,23.4,310,84,16.241930867508163
05:30,23.5,320,84,16.349404424669452
05:40,23.4,330,85,16.464161885691215
05:50,23.4,340,85,16.464161885691215
06:00,23.4,350,85,16.464161885691215
06:10,23.6,360,84,16.45732598103474
06:20,23.8,370,82,16.29017009034945
06:30,23.9,380,82,16.399109958419717
06:40,23.9,390,80,15.896933403469055
06:50,24.0,400,79,15.788313519873764
07:00,24.4,410,77,15.805577862332764
07:10,24.6,420,77,15.92518698605896
07:20,25.0,430,76,16.171375690829197
07:30,25.3,440,75,16.172536027738893
07:40,25.7,450,74,16.30994062301088
07:50,25.9,460,72,15.965824916879026
08:00,26.6,470,70,16.156730150993024
08:10,26.6,480,68,15.686026479348644
08:20,27.0,490,67,15.837632453663448
08:30,27.4,500,66,15.998430506033758
08:40,27.8,510,64,15.889621426965494
08:50,27.7,520,63,15.498327044608932
09:00,28.1,530,63,15.839473037765506
09:10,28.4,540,59,15.173577764699043
09:20,28.4,550,57,14.670311806699376
09:30,29.1,560,54,14.507433453621548
09:40,29.3,570,55,14.915764950449805
09:50,29.5,580,54,14.73939959949832
10:00,29.5,590,56,15.297689098799398
10:10,30.3,600,61,17.07831619843867
10:20,30.3,610,61,17.07831619843867
10:30,31.2,620,60,17.485849813157922
10:40,30.8,630,58,16.36654629634023
10:50,30.8,640,61,17.194997612831056
11:00,31.0,650,58,16.575943879646645
11:10,31.2,660,55,15.82965819619579
11:20,32.0,670,58,17.290447032386055
11:30,31.8,680,58,17.064855555906527
11:40,31.3,690,57,16.395092044251028
11:50,31.0,700,60,17.16240434201076
12:00,31.2,710,60,17.379704898452944
12:10,30.8,720,63,17.778996896821994
12:20,29.8,730,64,17.423110572346884
12:30,30.1,740,69,19.062054453464402
12:40,30.3,750,65,18.043191795558196
12:50,30.5,760,64,17.866814701366117
13:00,30.8,770,62,17.466084619421195
13:10,31.2,780,60,17.379704898452944
13:20,30.7,790,59,16.536110084156896
13:30,30.2,800,61,16.860498971088612
13:40,30.2,810,62,17.078319176478715
13:50,29.7,820,64,17.313969554172832
14:00,29.2,830,63,16.637211432026566
14:10,29.2,840,68,18.047420641320833
14:20,29.1,850,68,17.944636697025835
14:30,29.1,860,68,17.944636697025835
14:40,28.7,870,70,18.126956137084984
14:50,29.1,880,67,17.636336965762904
15:00,29.0,890,67,17.53355301802791
15:10,28.2,900,68,17.308181036476453
15:20,29.2,910,67,17.739820609218742
15:30,27.8,920,73,18.257769995062284
15:40,28.5,930,72,18.501479062038413
15:50,27.9,940,73,18.375318993137564
16:00,28.3,950,73,18.728477889773698
16:10,27.8,960,76,19.027209419515255
16:20,27.5,970,76,18.734420170792028
16:30,28.0,980,73,18.493018991212847
16:40,28.6,990,73,18.962225004630158
16:50,28.0,1000,73,18.493018991212847
17:00,27.3,1010,74,18.18944472281517
17:10,27.6,1020,74,18.534899927477566
17:20,28.1,1030,72,18.182024810486017
17:30,28.0,1040,70,17.610136213889064
17:40,27.6,1050,70,17.322906518949998
17:50,28.4,1060,68,17.409183135180754
18:00,28.5,1070,68,17.512037034476732
18:10,28.5,1080,68,17.512037034476732
18:20,28.4,1090,68,17.409183135180754
18:30,28.3,1100,69,17.613339538369677
18:40,28.0,1110,71,17.902837873220397
18:50,27.9,1120,72,18.139921632806233
19:00,28.1,1130,73,18.610776892411738
19:10,27.7,1140,73,18.140220994475893
19:20,27.6,1150,73,18.02322632416425
19:30,27.7,1160,69,17.23073354089681
19:40,27.7,1170,69,17.23073354089681
19:50,27.6,1180,71,17.67763191225932
20:00,27.8,1190,70,17.52624608399937
20:10,27.6,1200,70,17.322906518949998
20:20,27.3,1210,72,17.665704790675948
20:30,27.2,1220,72,17.548252719971465
20:40,27.3,1230,71,17.31070538401954
20:50,27.2,1240,74,18.129526516711952
21:00,27.4,1250,72,17.783853841366433
21:10,27.5,1260,70,17.221019793299313
21:20,27.3,1270,72,17.665704790675948
21:30,27.2,1280,73,17.899653798700674
21:40,27.3,1290,73,18.017256158037026
21:50,27.2,1300,73,17.899653798700674
22:00,26.9,1310,75,18.174083698199467
22:10,27.2,1320,77,18.897110474998122
22:20,27.1,1330,74,18.015105157333706
22:30,26.9,1340,72,17.313252039676948
22:40,26.8,1350,80,18.260809059775078
22:50,26.3,1360,79,18.114979889308555
23:00,26.4,1370,80,18.466085986735858
23:10,26.1,1380,80,18.146647153775917
23:20,26.1,1390,80,18.146647153775917
23:30,25.9,1400,80,17.935798171148622
23:40,25.9,1410,81,18.17196866647135
23:50,25.7,1420,80,17.725956379696606
24:00,25.8,1430,80,17.831385766871886
