time,temp_c,minutes,relative_humidity,absolute_humidity_g_per_kg
00:10,26.8,0,81.0,18.02634676162771
00:20,26.6,10,81.0,17.809404196136953
00:30,26.6,20,81.0,17.809404196136953
00:40,26.6,30,81.0,17.809404196136953
00:50,26.5,40,81.0,17.701819286617756
01:00,26.5,50,82.0,17.92665883390383
01:10,26.4,60,83.0,18.041862840105246
01:20,26.4,70,83.0,18.041862840105246
01:30,26.3,80,83.0,17.932669408345625
01:40,26.2,90,83.0,17.8240731753803
01:50,26.1,100,83.0,17.716071138923155
02:00,25.9,110,83.0,17.501837720974343
02:10,25.9,120,83.0,17.501837720974343
02:20,25.9,130,81.0,17.06853381319998
02:30,25.8,140,82.0,17.180225911903335
02:40,25.7,150,82.0,17.07591398252427
02:50,25.8,160,81.0,16.96499645952758
03:00,25.9,170,82.0,17.2851123443485
03:10,25.9,180,87.0,18.37021067325028
03:20,25.8,190,90.0,18.907295494710347
03:30,25.6,200,90.0,18.677717313450046
03:40,25.6,210,91.0,18.891550668433318
03:50,25.5,220,92.0,18.9890014866688
04:00,25.5,230,91.0,18.77636861556117
04:10,25.5,240,91.0,18.77636861556117
04:20,25.5,250,91.0,18.77636861556117
04:30,25.6,260,83.0,17.18486986485072
04:40,25.8,270,82.0,17.180225911903335
04:50,25.9,280,82.0,17.2851123443485
05:00,25.8,290,82.0,17.180225911903335
05:10,25.8,300,83.0,17.39560040923899
05:20,25.9,310,82.0,17.2851123443485
05:30,25.9,320,82.0,17.2851123443485
05:40,26.0,330,82.0,17.390576178387494
05:50,26.0,340,82.0,17.390576178387494
06:00,26.0,350,82.0,17.390576178387494
06:10,26.1,360,83.0,17.716071138923155
06:20,26.1,370,81.0,17.27732002595372
06:30,26.3,380,82.0,17.710461291904142
06:40,26.2,390,82.0,17.603247717461286
06:50,26.2,400,82.0,17.603247717461286
07:00,26.3,410,80.0,17.26650769063108
07:10,26.8,420,79.0,17.568679864675744
07:20,27.1,430,77.0,17.42436273949904
07:30,27.6,440,76.0,17.7171408487286
07:40,27.5,450,76.0,17.61093279313225
07:50,27.1,460,77.0,17.42436273949904
08:00,27.4,470,77.0,17.742202300341646
08:10,27.0,480,77.0,17.31956309094619
08:20,27.4,490,76.0,17.505299298038924
08:30,27.6,500,75.0,17.477470168229377
08:40,28.1,510,73.0,17.515938693351448
08:50,28.8,520,71.0,17.749302115991043
09:00,28.7,530,69.0,17.133151429232466
09:10,28.9,540,71.0,17.855320392392095
