time,hvac_on,outdoor_temp,outdoor_rh,return_temp,mixed_temp,supply_temp,return_rh,mixed_rh,supply_rh,outdoor_co2_ppm,return_co2_ppm,mixed_co2_ppm,supply_co2_ppm,total_flow_kg_s,oa_flow_kg_s,recirc_flow_kg_s,chw_flow_kg_s,chw_flow_m3_min,coil_load_kw,coil_load_latent_kw,coil_load_sensible_kw,chiller_power_kw,coil_valve_pos,chw_t_in,chw_t_out,fan_power_kw,chw_pump_power_kw,chw_pump_dp_pa,chw_pump_inv,fan_dp_pa,supply_static_pa,fan_flow_m3_min,coil_dp_pa,supply_trunk_dp_pa,return_trunk_dp_pa,fan_inv,zone1_temp,zone1_flow_kg_s,zone1_damper,zone1_dp_pa,zone1_co2_ppm,zone1_rh,zone1_occupancy,zone2_temp,zone2_flow_kg_s,zone2_damper,zone2_dp_pa,zone2_co2_ppm,zone2_rh,zone2_occupancy,zone3_temp,zone3_flow_kg_s,zone3_damper,zone3_dp_pa,zone3_co2_ppm,zone3_rh,zone3_occupancy,zone4_temp,zone4_flow_kg_s,zone4_damper,zone4_dp_pa,zone4_co2_ppm,zone4_rh,zone4_occupancy,oa_damper,ra_damper,ea_damper
2025-07-29 10:44:00,True,33.42,61.2,26.157986362529734,29.08325469907354,20.144250138832483,63.167450600562056,63.33373446313422,91.20181459845594,420.0,831.4822667834177,666.8893600700505,666.8893600700505,1.53399483996228,0.6135979359849121,0.920396903977368,0.5337001546223956,0.03208618164062499,24.193389940782488,10.39872874975456,13.794661191027924,6.048347485195622,0.1865362543148495,7.0,17.8448391483525,6.874950917230175,0.039526332188116485,59130.25009580529,0.7739238229153621,2860.0386038371594,900.0,76.69974199811399,264.80974893872667,31.07717621244717,161.7067724443957,1.270000000000001,26.45278191509741,0.4275770249759175,0.5,900.0,877.795690017185,63.881023629489306,15.0,25.47386557506701,0.3620656807668112,0.5,885.0159675009945,827.7498417693437,65.67280953055317,10.0,26.293614884448793,0.3437902721937211,0.5,872.1296709632076,873.578213468068,62.92267171618503,12.0,26.459884179652107,0.4005618620258301,0.5,868.9228237875528,750.0613476047238,61.32279565758246,6.0,0.4,0.6,0.4
2025-07-29 10:45:00,True,33.6,61.0,26.187913233040316,29.17383431099617,19.731331521377847,63.40741475018674,63.39387326600412,91.25719691545964,420.0,831.6838546153666,667.0103127692199,667.0103127692199,1.53399483996228,0.6135979359849121,0.920396903977368,0.6402980550130208,0.038494873046875,26.715300197569725,12.143641138632159,14.571659058937566,6.678825049392431,0.22336187079066316,7.0,16.98163291754696,6.786931451786278,0.05113140487970888,63756.735377135265,0.8044588161123207,2825.6465984867154,900.0,76.69974199811399,264.80974893872667,31.07717621244717,161.7067724443957,1.265000000000001,26.476721857381772,0.4275770249759175,0.5,900.0,877.9222286307009,63.95148992988514,15.0,25.504120897112838,0.3620656807668112,0.5,885.0159675009945,828.0053888769685,65.79412416114249,10.0,26.32592473939751,0.3437902721937211,0.5,872.1296709632076,873.8542718661154,63.04672153118849,12.0,26.482375871100455,0.4005618620258301,0.5,868.9228237875528,750.2057235914914,61.42993730338242,6.0,0.4,0.6,0.4
2025-07-29 10:46:00,True,33.78,60.8,26.21484142708067,29.26273793289786,19.277310925523572,63.511213155409195,63.385808136257246,91.3168541446903,420.0,831.8790101266503,667.1274060759902,667.1274060759902,1.53399483996228,0.6135979359849121,0.920396903977368,0.7760327148437499,0.04665527343749999,29.322419449380217,13.912920384223277,15.40949906515694,7.330604862345054,0.2634810831475234,7.0,16.039480872967147,6.699416471898912,0.06658739616126184,68506.6184430841,0.8349780633626829,2791.3902617964313,900.0,76.69974199811399,264.80974893872667,31.07717621244717,161.7067724443957,1.2600000000000011,26.497357393617015,0.4275770249759175,0.5,900.0,878.0475039859765,63.881523220006784,15.0,25.531129367672882,0.3620656807668112,0.5,885.0159675009945,828.2500923599167,65.7853964095303,10.0,26.354898706573813,0.3437902721937211,0.5,872.1296709632076,874.1185719585686,63.05285735281541,12.0,26.501585105578535,0.4005618620258301,0.5,868.9228237875528,750.3474230196839,61.403146560917676,6.0,0.4,0.6,0.4
2025-07-29 10:47:00,True,33.96,60.6,26.23847747546897,29.34979498614558,18.805547709343816,63.48371047366377,63.31279405670818,91.38001051203675,420.0,832.0679200087646,667.2407520052587,667.2407520052587,1.53399483996228,0.6135979359849121,0.920396903977368,0.9480106608072916,0.05699462890625,31.898397900803843,15.62652806142022,16.271869839383626,7.974599475200961,0.3060704924151686,7.0,15.049693938621235,6.699416471898912,0.08699525603831848,73266.06682022584,0.8649272851760081,2791.3902617964313,900.0,76.69974199811399,264.80974893872667,31.07717621244717,161.7067724443957,1.2600000000000011,26.51458373184967,0.4275770249759175,0.5,900.0,878.1713082002767,63.683890526514645,15.0,25.554789401992327,0.3620656807668112,0.5,885.0159675009945,828.4845007793001,65.65690451390078,10.0,26.38043412667925,0.3437902721937211,0.5,872.1296709632076,874.3716998361745,62.950043622423266,12.0,26.51740697081826,0.4005618620258301,0.5,868.9228237875528,750.4863692037558,61.253807050646316,6.0,0.4,0.6,0.4
2025-07-29 10:48:00,True,34.14,60.4,26.25871778978196,29.434943141194502,18.340663603175297,63.33589546878381,63.181074419460415,91.44400872043576,420.0,832.2507671203845,667.3504602722306,667.3504602722306,1.53399483996228,0.6135979359849121,0.920396903977368,1.1640490722656245,0.06998291015624997,34.33355859930529,17.212879629498197,17.12067896980709,8.583389649826323,0.3505125493659025,7.0,14.05620595860885,6.699416471898912,0.1136553665195808,77954.14024309,0.894030752334025,2791.3902617964313,900.0,76.69974199811399,264.80974893872667,31.07717621244717,161.7067724443957,1.2600000000000011,26.528495873376265,0.4275770249759175,0.5,900.0,878.2934612987608,63.376786362695114,15.0,25.575192744863095,0.3620656807668112,0.5,885.0159675009945,828.7091291626265,65.42395304560738,10.0,26.402626050555316,0.3437902721937211,0.5,872.1296709632076,874.614207076752,62.751791437424544,12.0,26.52993620570107,0.4005618620258301,0.5,868.9228237875528,750.6225006518987,60.99849512222401,6.0,0.4,0.6,0.4
2025-07-29 10:49:00,True,34.32,60.2,26.27565654527108,29.51823318610867,17.903814366220743,63.08383233777462,62.99929513059249,91.50499609694961,420.0,832.4277304168008,667.4566382500805,667.4566382500805,1.53399483996228,0.6135979359849121,0.920396903977368,1.4319651285807289,0.08609008789062499,36.54547669777185,18.622119407669768,17.923357290102086,9.136369174442963,0.3963440920789529,7.0,13.105551618915303,6.699416471898912,0.14798463841033166,82509.6456251783,0.9221689864809113,2791.3902617964313,900.0,76.69974199811399,264.80974893872667,31.07717621244717,161.7067724443957,1.2600000000000011,26.539358343048644,0.4275770249759175,0.5,900.0,878.4138085271795,62.981607534534724,15.0,25.592595221311708,0.3620656807668112,0.5,885.0159675009945,828.9244613697871,65.10492705890003,10.0,26.421737268107446,0.3437902721937211,0.5,872.1296709632076,874.8466130607395,62.47442006330057,12.0,26.53943695071879,0.4005618620258301,0.5,868.9228237875528,750.755769609551,60.65691581980831,6.0,0.4,0.6,0.4
2025-07-29 10:50:00,True,34.5,60.0,26.289555724194305,29.599812230545577,17.503218881553703,62.74665031843587,62.777459971795615,91.56049682719089,420.0,832.5989848979414,667.5593909387647,667.5593909387647,1.53399483996228,0.6135979359849121,0.920396903977368,1.7652612304687498,0.10612792968749998,38.516217489844806,19.848769040698382,18.667448449146423,9.629054372461201,0.4432177491137407,7.0,12.219854115077457,6.699416471898912,0.19207197146467078,86871.14369847252,0.9493095070960287,2791.3902617964313,900.0,76.69974199811399,264.80974893872667,31.07717621244717,161.7067724443957,1.2600000000000011,26.547498885997165,0.4275770249759175,0.5,900.0,878.5322179013848,62.51893096140238,15.0,25.60731389830939,0.3620656807668112,0.5,885.0159675009945,829.1309522778853,64.71774264132031,10.0,26.43809309775103,0.3437902721937211,0.5,872.1296709632076,875.0694071184384,62.13388335438804,12.0,26.546236520461058,0.4005618620258301,0.5,868.9228237875528,750.8861407220433,60.24814565599339,6.0,0.4,0.6,0.4
2025-07-29 10:51:00,True,34.47,59.6,26.30073989505191,29.594046773036172,17.08331122276072,62.342889284339876,62.35337765043746,91.56686409580827,420.0,832.764701573028,667.6588209438169,667.6588209438169,1.53399483996228,0.6135979359849121,0.920396903977368,2.1753078206380208,0.130780029296875,39.885182623213524,20.57863042228879,19.306552200924727,9.971295655803381,0.4908729918898316,7.0,11.386464126108589,6.699416471898912,0.2478947975014303,90984.4595083982,0.9754674661080649,2791.3902617964313,900.0,76.69974199811399,264.80974893872667,31.07717621244717,161.7067724443957,1.2600000000000011,26.552052624082688,0.4275770249759175,0.5,900.0,878.6485779734032,61.988266391636884,15.0,25.618481109881298,0.3620656807668112,0.5,885.0159675009945,829.3290297993285,64.26209202917138,10.0,26.45079575477001,0.3437902721937211,0.5,872.1296709632076,875.2830505217166,61.730163471509144,12.0,26.549466781098236,0.4005618620258301,0.5,868.9228237875528,751.0135898072311,59.77170464854261,6.0,0.4,0.6,0.4
2025-07-29 10:52:00,True,34.44,59.2,26.308335296724355,29.586206987761415,16.71138775955345,61.8722109949854,61.897657360767454,91.55816135628336,420.0,832.9250474401061,667.7550284640636,667.7550284640636,1.53399483996228,0.6135979359849121,0.920396903977368,2.680581868489583,0.16115722656249998,40.98182199849332,21.113416299406047,19.86840569908727,10.24545549962333,0.5391144239718997,7.0,10.657513225487701,6.699416471898912,0.3182157276393161,94779.21190684848,1.000683088068077,2791.3902617964313,900.0,76.69974199811399,264.80974893872667,31.07717621244717,161.7067724443957,1.2600000000000011,26.553448137025573,0.4275770249759175,0.5,900.0,878.762795795536,61.410025428404666,15.0,25.6265117374736,0.3620656807668112,0.5,885.0159675009945,829.5190967464366,63.75594030270483,10.0,26.4602708647604,0.3437902721937211,0.5,872.1296709632076,875.4879783319465,61.27928482991294,12.0,26.549555860666747,0.4005618620258301,0.5,868.9228237875528,751.1381027296444,59.24662580969747,6.0,0.4,0.6,0.4
2025-07-29 10:53:00,True,34.410000000000004,58.8,26.312766495749308,29.576529404239,16.386862730061125,61.35312163305081,61.41918248673805,91.53401685585142,420.0,833.0801854788335,667.8481112873001,667.8481112873001,1.53399483996228,0.6135979359849121,0.920396903977368,3.297428385416666,0.19824218749999997,41.82840962896339,21.47413172623801,20.354277902725375,10.457102407240848,0.5877954980334508,7.0,10.034727488308588,6.699416471898912,0.4054972855813591,98182.27872362053,1.025008667451036,2791.3902617964313,900.0,76.69974199811399,264.80974893872667,31.07717621244717,161.7067724443957,1.2600000000000011,26.552104312095764,0.4275770249759175,0.5,900.0,878.8747950655189,60.80165548937616,15.0,25.631811375763657,0.3620656807668112,0.5,885.0159675009945,829.7015325547474,63.21484162785549,10.0,26.466934408784244,0.3437902721937211,0.5,872.1296709632076,875.6846011150412,60.7951626919146,12.0,26.54692219950872,0.4005618620258301,0.5,868.9228237875528,751.2596743683114,58.68928250895073,6.0,0.4,0.6,0.4
