hvac_on,outdoor_temp,outdoor_rh,return_temp,mixed_temp,supply_temp,return_rh,mixed_rh,supply_rh,outdoor_co2_ppm,return_co2_ppm,mixed_co2_ppm,supply_co2_ppm,total_flow_kg_s,oa_flow_kg_s,recirc_flow_kg_s,chw_flow_kg_s,chw_flow_m3_min,coil_load_kw,coil_load_latent_kw,coil_load_sensible_kw,chiller_power_kw,coil_valve_pos,chw_t_in,chw_t_out,fan_power_kw,chw_pump_power_kw,chw_pump_dp_pa,chw_pump_inv,fan_dp_pa,supply_static_pa,fan_flow_m3_min,coil_dp_pa,supply_trunk_dp_pa,return_trunk_dp_pa,fan_inv,zone1_temp,zone1_flow_kg_s,zone1_damper,zone1_dp_pa,zone1_co2_ppm,zone1_rh,zone1_occupancy,zone2_temp,zone2_flow_kg_s,zone2_damper,zone2_dp_pa,zone2_co2_ppm,zone2_rh,zone2_occupancy,zone3_temp,zone3_flow_kg_s,zone3_damper,zone3_dp_pa,zone3_co2_ppm,zone3_rh,zone3_occupancy,zone4_temp,zone4_flow_kg_s,zone4_damper,zone4_dp_pa,zone4_co2_ppm,zone4_rh,zone4_occupancy,oa_damper,ra_damper,ea_damper
False,27.2,83.0,27.908798599993812,27.2,,50.0458044595131,83.0,83.0,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.171470183547495,0.0,0.0,0.0,420.0,50.07253058481839,0.0,27.670922085896397,0.0,0.0,0.0,420.0,50.05068456354624,0.0,27.358406084993305,0.0,0.0,0.0,420.0,50.0760707380586,0.0,28.465241037650312,0.0,0.0,0.0,420.0,50.03485490145522,0.0,0.0,0.0,0.0
False,27.22,82.9,27.916509848021875,27.22,,50.07253388427122,82.9,82.9,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.178571056445495,0.0,0.0,0.0,420.0,50.10340582332008,0.0,27.67807934869736,0.0,0.0,0.0,420.0,50.079414781666834,0.0,27.36511536916837,0.0,0.0,0.0,420.0,50.105188317400675,0.0,28.472026906412598,0.0,0.0,0.0,420.0,50.06161138534089,0.0,0.0,0.0,0.0
False,27.24,82.8,27.923448170180954,27.24,,50.10140064535774,82.8,82.8,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.184987155063748,0.0,0.0,0.0,420.0,50.136146055803096,0.0,27.68456075626415,0.0,0.0,0.0,420.0,50.11000570639506,0.0,27.37120326485214,0.0,0.0,0.0,420.0,50.13602103482581,0.0,28.47814805997045,0.0,0.0,0.0,420.0,50.090187928014196,0.0,0.0,0.0,0.0
False,27.259999999999998,82.7,27.929724809037623,27.259999999999998,,50.13208320567297,82.7,82.7,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.190817311528047,0.0,0.0,0.0,420.0,50.17046646509522,0.0,27.690463712383263,0.0,0.0,0.0,420.0,50.142175445548474,0.0,27.37675937719878,0.0,0.0,0.0,420.0,50.1683088349219,0.0,28.48370041847424,0.0,0.0,0.0,420.0,50.12030848319784,0.0,0.0,0.0,0.0
False,27.279999999999998,82.6,27.935435204896084,27.279999999999998,,50.164305762851356,82.6,82.6,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.19614630458346,0.0,0.0,0.0,420.0,50.20612274195575,0.0,27.695871789327203,0.0,0.0,0.0,420.0,50.17568215190186,0.0,27.38186059583362,0.0,0.0,0.0,420.0,50.20182856360289,0.0,28.488766271970196,0.0,0.0,0.0,420.0,50.15173625101335,0.0,0.0,0.0,0.0
False,27.299999999999997,82.5,27.940661240428618,27.299999999999997,,50.197831703887886,82.5,82.5,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.201046857786224,0.0,0.0,0.0,420.0,50.2429052924926,0.0,27.700856691837682,0.0,0.0,0.0,420.0,50.210318303193915,0.0,27.386572899150217,0.0,0.0,0.0,420.0,50.236388704742694,0.0,28.49341621709656,0.0,0.0,0.0,420.0,50.18426806817053,0.0,0.0,0.0,0.0
False,27.32,82.4,27.945473166467668,27.32,,50.23245800669829,82.40000000000003,82.40000000000003,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2055813535811,0.0,0.0,0.0,420.0,50.28063428190133,0.0,27.705479942236323,0.0,0.0,0.0,420.0,50.24590580700266,0.0,27.39095290258293,0.0,0.0,0.0,420.0,50.27182487420501,0.0,28.497710818595372,0.0,0.0,0.0,420.0,50.217729607521136,0.0,0.0,0.0,0.0
False,27.34,82.3,27.94993125424893,27.34,,50.26801044894378,82.30000000000001,82.30000000000001,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.209803303661225,0.0,0.0,0.0,420.0,50.31915539167372,0.0,27.709794326260855,0.0,0.0,0.0,420.0,50.28229180948623,0.0,27.39504918718408,0.0,0.0,0.0,420.0,50.30799596053518,0.0,28.5017020347408,0.0,0.0,0.0,420.0,50.25197126823139,0.0,0.0,0.0,0.0
False,27.36,82.2,27.954087212961742,27.36,,50.30433950575027,82.19999999999999,82.19999999999999,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.21375861026369,0.0,0.0,0.0,420.0,50.3583361860225,0.0,27.713845133602234,0.0,0.0,0.0,420.0,50.319345105260616,0.0,27.39890343967988,0.0,0.0,0.0,420.0,50.344780818216805,0.0,28.50543444022893,0.0,0.0,0.0,420.0,50.28686465576217,0.0,0.0,0.0,0.0
False,27.38,82.1,27.957985405943685,27.38,,50.341316835813686,82.10000000000001,82.10000000000001,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.21748664812672,0.0,0.0,0.0,420.0,50.39806299890471,0.0,27.717671222293752,0.0,0.0,0.0,420.0,50.35695306107686,0.0,27.402551430755757,0.0,0.0,0.0,420.0,50.382075433423026,0.0,28.508946275307725,0.0,0.0,0.0,420.0,50.32229956594031,0.0,0.0,0.0,0.0
False,27.4,82.0,27.96166389412099,27.4,,50.378832270433314,82.00000000000001,82.00000000000001,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.221021192607942,0.0,0.0,0.0,420.0,50.438238266217574,0.0,27.72130593196401,0.0,0.0,0.0,420.0,50.395018978945046,0.0,27.40602385452581,0.0,0.0,0.0,420.0,50.41979049405276,0.0,28.51227034583649,0.0,0.0,0.0,420.0,50.358181400140445,0.0,0.0,0.0,0.0
